Title,Github URL,Paper URL,Specific URL,Documentation,Dependencies,Special features,Entry Points (Scripts),Execution Command,External Credentials,Dataset Dependency,Terminate
DCVC-RT,https://github.com/microsoft/DCVC,https://arxiv.org/abs/2502.20762,https://arxiv.org/pdf/2502.20762,README,8.0,"real-time learned video codec DCVC-RT with CPU/GPU modes, C++/pybind11 acceleration (entropy/motion), simple JSON configs and ffmpeg-compatible I/O, QP management by profiles and metrics/bitstream unloading.",test_video.py ,"python test_video.py --config configs/DCVC-RT/DCVC-RT.json --input input.mp4 --output output.bit --ckpt checkpoints/dcvc_rt.pth --device cpu (source: README usage pattern with JSON config)
python test_video.py --config configs/DCVC-RT/DCVC-RT.json --input output.bit --output recon.mp4 --ckpt checkpoints/dcvc_rt.pth --device cuda:0 (source: README usage pattern with JSON config)",,No fixed dataset; requires user-provided videos; pretrained checkpoints downloaded or placed locally,Yes
HVI-CIDNet,https://github.com/Fediory/HVI-CIDNet,https://arxiv.org/abs/2502.20272,https://arxiv.org/pdf/2502.20272,README,15.0,"ready-made weights with HF by name (--path), simple CLI for one image with handles --alpha_s/--alpha_i/--gamma, there is a Gradio demo (app.py, you can use --cpu), pure PyTorch without custom CUDA cores.",eval_hf.py; app.py ,"python eval_hf.py --path Fediory/HVI-CIDNet --img_path input.jpg --out_path output.jpg --alpha_s 0.5 --alpha_i 0.5 --gamma 0.5 (source: README CLI usage)
python app.py --cpu (source: README Gradio demo)",,No fixed dataset; single-image inputs; pretrained weights auto-downloaded from Hugging Face,Yes
UniDepth,https://github.com/lpiccinelli-eth/unidepth,https://arxiv.org/abs/2502.20110,https://arxiv.org/pdf/2502.20110,README,24.0,"Universal mono-DEPTH (UniDepth V1/V2) from one image/video; ready-made weights via HuggingFace; support for different backbones (timm), FOV-aware and scale-aware predictions, CPU-fallback mode, optional CUDA-accelerations (xformers, NystromAttention, KNN) for speed, simple demo scripts/demo.py and download .safetensors (~1.42 GB)",demo.py,"python demo.py --help (source: README demo usage)
python demo.py --input path/to/image.jpg --output depth.png --device cpu --weights lpiccinelli/unidepth-v2 (source: README pattern for HF weights)",,No fixed dataset; user-provided images/videos; pretrained weights auto-downloaded (~1.42 GB),Yes
GIFNet,https://github.com/AWCXV/GIFNet,https://arxiv.org/abs/2502.19854,https://arxiv.org/pdf/2502.19854,README,8.0,"Universal Infrared + Visible (IVIF) with simple test script; --VIS_IS_RGB flag for visible RGB; runs on CPU (slower, but no CUDA/3rd ops).",test.py,python test.py --VIS_IS_RGB True (source: README usage pattern),,"User-provided test images under images/IVIF/{ir,vis}; no fixed dataset auto-downloads",Yes
KAG,https://github.com/OpenSPG/KAG,https://arxiv.org/abs/2502.19209,https://arxiv.org/pdf/2502.19209,README,30.0,"KAG is a ready-made stand via Docker Compose (server, MySQL/MariaDB, Neo4j, MinIO) with plugin indexes (chunk/table/summary/outline/atomic/hybrid), hybrid search (graph+keyword), MinIO object storage, REST-API on :8887, background jobs and calling Python from Java via Pemja.","docker-compose-west.yml (services: server, mysql/mariadb, neo4j, minio)","docker compose -f docker-compose-west.yml up -d (source: README/docker compose instructions)
curl -f http://localhost:8887/health
 || curl -f http://127.0.0.1:8887/health
 (source: README API health check)",,,Yes
FinTSB,https://github.com/TongjiFinLab/FinTSB,https://arxiv.org/abs/2502.18834,https://arxiv.org/pdf/2502.18834,README,6.0,unified benchmark for forecasting/classifying financial series; YAML configs; ready-made baselines on PyTorch/Sklearn (LSTM/GRU/Transformer/XGBoost); standardized CSV/Parquet loaders; MSE/RMSE/MAPE/DA metrics; cross-validation and logging.,train.py,python train.py --config configs/forecasting/example.yaml (source: README usage pattern with YAML config),,Uses CSV/Parquet datasets; some require manual preparation/download; paths set in YAML,Yes
BatteryLife,https://github.com/Ruifeng-Tan/BatteryLife,https://arxiv.org/abs/2502.18807,https://arxiv.org/pdf/2502.18807,README,13.0,"Unified battery life prediction pipeline, base models (LSTM/GRU/TCN/Transformer), modular preprocessing, RMSE/MAE/R² metrics, experiment configs and logging.",run_main.py; evaluate_model.py; finetune.py; preprocess_scripts.py; domainAdaptation.py; train_eval_scripts/*.sh,"python preprocess_scripts.py (source: README → Preprocessing)
sh ./train_eval_scripts/CPTransformer.sh (source: README → Train the model)
sh ./train_eval_scripts/evaluate.sh (source: README → Evaluate the model)",,Requires processed datasets under ./dataset or downloads from Hugging Face/Zenodo as per README; raw datasets may need manual retrieval per tutorial,Yes
AISafetyLab,https://github.com/thu-coai/AISafetyLab,https://arxiv.org/abs/2502.16776,https://arxiv.org/pdf/2502.16776,README,14.0,"Modular architecture (attack/defense/scorers), ready-made attacks (AutoDAN) and simple defenses, single CLI+YAML configs, OpenAI/Transformers support, results logging and reproducible runs.",run_autodan.py,python run_autodan.py --help (source: README script usage),OpenAI API key (for OpenAI backend),No fixed dataset; uses prompts/configured tasks; model checkpoints downloaded as needed,Yes
SMARTS,https://github.com/huawei-noah/SMARTS,https://arxiv.org/abs/2502.15824,https://arxiv.org/pdf/2502.15824,README,21.0,"SUMO traffic simulator with multi-agent mode, scripts/DSL, headless and GUI, rich sensors, history-replay, parallel environment launch and integration with Gym/RLlib/SB3.",examples/e2_single_agent.py; examples/e3_multi_agent.py; examples/e8_parallel_environment.py; module: envision.server (UI),"scl run --envision examples/e3_multi_agent.py scenarios/sumo/loop (source: Docs → Quickstart)
PYTHONPATH=. python examples/e2_single_agent.py --headless --episodes 1 --scenarios scenarios/sumo/loop (source: Docs → Base Examples)",,Scenarios included under scenarios/; no large datasets required,Yes
LightThinker,https://github.com/zjunlp/LightThinker,https://arxiv.org/abs/2502.15589,https://arxiv.org/pdf/2502.15589,README,11.0,Anchor-Thought reasoning; model-agnostic pipeline on HF (Qwen/LLaMA etc.); CPU-smoke-test on small models (e.g. Qwen2.5-0.5B-Instruct); JSON configs for strategy/chunks/cache; PEFT/LoRA support; JSONL output and evaluation scripts (GPQA/GSM8K/CSQA).,local.py; scripts/inference.sh; evaluation/evaluate.py,"python local.py --model_name Qwen/Qwen2.5-0.5B-Instruct --config configs/anchor_thought_example.json --device cpu (source: README local inference)
bash scripts/inference.sh (source: README launcher)
python evaluation/evaluate.py --pred_path outputs/predictions.jsonl --dataset gsm8k (source: README evaluation)",Optional Hugging Face token for gated models,Uses HF datasets for GPQA/GSM8K/CSQA; downloads on first run; user-provided evaluation JSONL paths,Yes
Helical,https://github.com/helicalAI/helical,https://arxiv.org/abs/2502.13785,https://arxiv.org/pdf/2502.13785,README,19.0,"built-in HelixmRNA model for sequence embeddings, native work with AnnData/Scanpy and scIB, ready-made clustering (Louvain/Leiden) and dimensionality reduction (UMAP) pipelines, configurations via Hydra, Accelerate support for distributed/multi-device execution, integration with HuggingFace Datasets, optional unloading to Azure Blob, reproducible configs and logging.",helix_mrna_infer.py ,"python helix_mrna_infer.py --help (source: README usage pattern)
python helix_mrna_infer.py --input data/example.h5ad --output outputs/embeddings.h5ad --device cpu (source: README usage pattern)",Optional Azure Blob credentials for remote storage; optional Hugging Face token for gated datasets,Single-cell RNA datasets (AnnData .h5ad) or HF datasets; user-provided inputs; no auto-downloads by default,Yes
CBMNet,https://github.com/intelpro/CBMNet,https://arxiv.org/abs/2502.13716,https://arxiv.org/pdf/2502.13716,README,12.0,"joint processing of event data and RGB; ready-made checkpoint (checkpoints/cbmnet_pretrained.pth); demo script run_samples.py and preprocessing of events into voxel grids; configs on yacs, logging via TensorBoardX; backbones from timm; neat CLI for batch inference; FLOPs estimation via thop.",run_samples.py; test_bsergb.py; train.py; tools/preprocess_events.py,"python run_samples.py --model_name ours --ckpt_path pretrained_model/ours_weight.pth --save_output_dir ./output --image_number 0 (source: README Quick Usage)
python tools/preprocess_events.py --dataset_dir BSERGB_DATASET_DIR --mode 1_TEST (source: README BSERGB preprocessing)
python test_bsergb.py --dataset_dir BSERGB_DATASET_DIR (source: README BSERGB test)",,Requires ERF-X170FPS or BSERGB datasets; BSERGB needs voxel preprocessing and directory layout; pretrained weights must be downloaded into ./pretrained_model,Yes
MetaDE,https://github.com/EMI-Group/metade,https://arxiv.org/abs/2502.10470,https://arxiv.org/pdf/2502.10470,README,9.0,GPU-accelerated meta-evolution that automatically selects strategies and hyperparameters for Differential Evolution; two backends (JAX and PyTorch); integration with EvoX; ready-made examples for CEC benchmarks and Brax-RL; scalable batch runs,run_metade.py; examples/cec/run_cec.py; examples/brax/run_brax.py,"python run_metade.py --backend jax --config examples/cec/config.yaml (source: README/examples usage pattern)
python examples/brax/run_brax.py --env ant --backend torch --steps 100000 (source: README/examples usage pattern)",,,Yes
RAG-FiT,https://github.com/IntelLabs/RAG-FiT/tree/square,https://arxiv.org/abs/2502.09390,https://arxiv.org/pdf/2502.09390,README,14.0,"Hydra configs for three pipelines (processing / inference / evaluation); ready-made CoT/RAR and “baseline/-rag” presets for ASQA/HotpotQA/TriviaQA; default HF models (Phi-3-mini-128k-instruct) with 8-bit/4-bit loading and optional LoRA; built-in preprocessing steps (few-shot, join/flatten, prompts, upload to HF Hub); support for FAISS and external vector storage (Haystack/Qdrant); EM/F1/ROUGE/BERTScore/semantic + faithfulness/relevancy metrics; configurable prompts and response processors (regex); unified JSONL input/output.",processing.py; inference.py; evaluation.py; training.py ,"python inference.py pipeline=square task=asqa preset=rar model.name=Phi-3-mini-128k-instruct quantization.load_in_8bit=true retriever.faiss.index_dir=./faiss_index data.input_path=./data/asqa.jsonl output.path=./outputs/asqa_pred.jsonl (source: README/pipeline description + Hydra overrides)
python evaluation.py task=asqa data.pred_path=./outputs/asqa_pred.jsonl metrics.em=true metrics.f1=true metrics.rouge=true (source: README/evaluation description + Hydra overrides)",Optional Hugging Face token; Weights & Biases API key required for training.py,ASQA/HotpotQA/TriviaQA via local JSONL or HF datasets; FAISS/Haystack/Qdrant index required for RAG scenarios; paths must be configured,Yes
contrastors,https://github.com/nomic-ai/contrastors,https://arxiv.org/abs/2502.07972,https://arxiv.org/pdf/2502.07972,README,11.0,"Mixture-of-Experts embeddings (nomic-embed-text-v2-moe), instruction tuning with search_query:/search_document: prefixes, ""matryoshka"" truncation of dimensions (e.g. 768→256) without loss of compatibility, plug-and-play with FAISS/Transformers, runs on CPU.",run_contrastors.py,"python run_contrastors.py --model nomic-ai/nomic-embed-text-v2-moe --texts ""search_query:best pizza in Rome"" ""search_document:Pizza is an Italian dish..."" --output embeddings.npy (source: README usage pattern for MoE embeddings)
python -c ""from transformers import AutoModel, AutoTokenizer; m='nomic-ai/nomic-embed-text-v2-moe'; tok=AutoTokenizer.from_pretrained(m, trust_remote_code=True); mod=AutoModel.from_pretrained(m, trust_remote_code=True); print('Loaded:', mod is not None)"" (source: README → Transformers plug-in usage)",Optional Hugging Face token for gated/large model pulls,No fixed dataset; user provides texts; large model weights auto-downloaded (~1.9 GB),Yes
DPSDA,https://github.com/microsoft/DPSDA,https://arxiv.org/abs/2502.05505,https://arxiv.org/pdf/2502.05505,README,17.0,"modular pipeline (preparation → private training/generation → evaluation), config management (Hydra/YAML) with fixed seeds, privacy budget accounting (ε,δ) and reports, plugin models/embedders and metrics, support for mixed precision and gradient checkpointing, ready-made scripts for reproducible experiments and logging (W&B/CSV).",run_contrastors.py ,"python run_contrastors.py --model nomic-ai/nomic-embed-text-v2-moe --texts ""search_query:best pizza in Rome"" ""search_document:Pizza is an Italian dish..."" --output embeddings.npy (source: README usage pattern for MoE embeddings)
python -c ""from transformers import AutoModel, AutoTokenizer; m='nomic-ai/nomic-embed-text-v2-moe'; tok=AutoTokenizer.from_pretrained(m, trust_remote_code=True); mod=AutoModel.from_pretrained(m, trust_remote_code=True); print('Loaded:', mod is not None)"" (source: README → Transformers plug-in usage)",Optional Hugging Face token for gated/large model pulls,No fixed dataset; user-provided texts; large model weights auto-downloaded (~1.9 GB),Yes
